,Odour,OdourCS,Experiment,Fly ID,file,Time_s,calcium_zscore,TrainingOdour,OdourOnset,TimeFromOdourOnset_s
48,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,12.783807177575072,1.5935471939081691,OCT,9.0,3.783807177575072
49,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,13.050136493774552,1.8053850775019984,OCT,9.0,4.050136493774552
50,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,13.316465809974034,2.030396719630711,OCT,9.0,4.316465809974034
51,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,13.582795126173512,2.059003969003913,OCT,9.0,4.582795126173513
52,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,13.849124442372997,1.4230576035260287,OCT,9.0,4.849124442372995
53,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,14.115453758572476,0.4388720662664626,OCT,9.0,5.115453758572475
54,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,14.381783074771956,-0.3117917731684967,OCT,9.0,5.381783074771956
55,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,14.648112390971436,0.4908939886560494,OCT,9.0,5.648112390971436
56,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,14.914441707170916,0.6940294989111382,OCT,9.0,5.914441707170917
57,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,15.180771023370395,0.5149336940116815,OCT,9.0,6.180771023370397
58,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,15.44710033956988,0.6115733095413209,OCT,9.0,6.447100339569879
59,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,15.713429655769358,0.0331779986848196,OCT,9.0,6.7134296557693585
60,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,15.97975897196884,-0.13005160067992,OCT,9.0,6.97975897196884
61,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,16.24608828816832,0.2375154942076896,OCT,9.0,7.24608828816832
62,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,16.5124176043678,-0.2807324738490207,OCT,9.0,7.512417604367801
63,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,16.778746920567283,-0.2896271648306046,OCT,9.0,7.778746920567283
64,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,17.04507623676676,0.544069816902707,OCT,9.0,8.04507623676676
65,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,17.311405552966242,0.1139994880904535,OCT,9.0,8.311405552966242
